"loss","penalty","alpha","max_iter","learning_rate","early_stopping","warm_start","accuracy"
"hinge","l2",0.001,5000,"adaptive",False,False,0.7583333333333333
"hinge","l2",0.001,5000,"adaptive",False,True,0.741921768707483
"hinge","l2",0.001,5000,"adaptive",True,False,0.7376700680272108
"hinge","l2",0.001,5000,"adaptive",True,True,0.7662414965986394
"hinge","l2",0.001,10000,"constant",False,False,0.7460034013605442
"hinge","l2",0.001,10000,"constant",False,True,0.5626700680272109
"hinge","l2",0.001,10000,"constant",True,False,0.7376700680272109
"hinge","l2",0.001,10000,"constant",True,True,0.6540816326530612
"hinge","l2",0.001,10000,"optimal",False,False,0.6143707482993197
"hinge","l2",0.001,10000,"optimal",False,True,0.7378401360544218
"hinge","l2",0.001,10000,"optimal",True,False,0.676530612244898
"hinge","l2",0.001,10000,"optimal",True,True,0.6437925170068027
"hinge","l2",0.001,10000,"invscaling",False,False,0.6602891156462586
"hinge","l2",0.001,10000,"invscaling",False,True,0.6436224489795919
"hinge","l2",0.001,10000,"invscaling",True,False,0.7295068027210884
"hinge","l2",0.001,10000,"invscaling",True,True,0.7582482993197279
"hinge","l2",0.001,10000,"adaptive",False,False,0.7500850340136054
"hinge","l2",0.001,10000,"adaptive",False,True,0.741326530612245
"hinge","l2",0.001,10000,"adaptive",True,False,0.7414115646258503
"hinge","l2",0.001,10000,"adaptive",True,True,0.7462585034013605
"hinge","l2",0.001,50000,"constant",False,False,0.5240646258503401
"hinge","l2",0.001,50000,"constant",False,True,0.7546768707482994
"hinge","l2",0.001,50000,"constant",True,False,0.7380952380952382
"hinge","l2",0.001,50000,"constant",True,True,0.5945578231292517
"hinge","l2",0.001,50000,"optimal",False,False,0.7503401360544217
"hinge","l2",0.001,50000,"optimal",False,True,0.7378401360544218
"hinge","l2",0.001,50000,"optimal",True,False,0.7008503401360545
"hinge","l2",0.001,50000,"optimal",True,True,0.7453231292517007
"hinge","l2",0.001,50000,"invscaling",False,False,0.6683673469387755
"hinge","l2",0.001,50000,"invscaling",False,True,0.7011904761904761
"hinge","l2",0.001,50000,"invscaling",True,False,0.7297619047619047
"hinge","l2",0.001,50000,"invscaling",True,True,0.7416666666666667
"hinge","l2",0.001,50000,"adaptive",False,False,0.7624149659863945
